nom,adresse,cp,ville,departement,telephone,email,site_web
ESPACE ORTHO SCOLIOSE,1 rue Jacques Cœur,75004,Paris,75,01 44 78 94 84,,https://www.espace-ortho-scoliose.fr
DEMEURE ORTHOPEDIE (GROUPE PROTEOR),1 rue Rosa Lee Parks,38400,St Martin D'Heres,38,04 76 54 15 02,,http://www.demeureorthopedie.fr
NEUT,9 rue Léopold Bellan,75002,Paris,75,01 42 33 83 46,,https://www.neut.fr/fr/
PROTEOR PARIS 17,18 rue Boursault,75017,Paris,75,01 42 93 92 10,paris17@proteor.com,http://www.proteor.com
OTTO BOCK RÉSEAU ORTHOPÉDIE & SERVICES (AIX-EN-PROVENCE),2 Impasse de la Source,13770,Venelles,13,,info@,http://
PROTEOR NOGENT-SUR-MARNE,6 rue Coulmiers,94130,Nogent-Sur-Marne,94,01 48 72 96 81,nogent@proteor.com,http://www.proteor.com
LAGARRIGUE CLICHY (ORTHÈSES),"131, Bd Victor Hugo",92110,Clichy,92,01 49 68 82 46,clichy@groupelagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE CLICHY (PROTHÈSES),136 Bd Victor Hugo,92110,Clichy,92,01 49 68 00 97,clichy@groupelagarrigue.com,http://www.lagarrigue.com/
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (PARIS),2 Rue Sigmund Freud Bâtiment Yvoire,75019,Paris,75,01 42 03 20 30,paris19@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/agence-paris/
PROTEOR ROSCOFF,Centre de Perharidy Centre Hélio-Marin,29680,Roscoff,29,02 98 29 39 55,roscoff@proteor.com,http://www.proteor.com
ORTHOTECH,5 rue des artisans,93160,Noisy-Le-Grand,93,01 48 85 60 50,,https://orthotech.fr/
BTC ORTHOPEDIE,11 rue Neuve Ste Catherine,13007,Marseille,13,04 91 54 01 88,,http://btc-orthopedie.com/
EUROPE ORTHO,9 rue du Général de Gaulle,76500,Elbeuf,76,02 35 81 92 39,,
DUPONT ORTHOPEDIE (GROUPE PROTEOR),145 Rue de la Division Leclercq,93350,Le Bourget,93,01 48 37 88 15,lebourget@dupontortho.fr,http://www.proteor.com
CENTRE D'ORTHOPEDIE APPLIQUEE,"145, av de la division Leclerc",93350,Le Bourget,93,01 48 37 88 15,,
LAGARRIGUE MARSEILLE,240 avenue des Poilus,13012,Marseille,13,04 91 21 00 70,marseille@groupelagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE,59 Aevenue Roland Carraz,21300,Chenove,21,03 84 82 67 11,accueildole@groupelagarrigue.com,https://lagarrigue.com/
PROTEOR MARSEILLE,25 boulevard Saint Marcel,13011,Marseille,13,04 91 79 32 44,marseille@proteor.com,http://www.proteor.com
PROTEOR CHAMBERY,1197 Avenue du Grand Arietaz,73000,Chambery,73,04 79 85 71 21,chambery@proteor.com,http://www.proteor.com
PROTEOR DIJON,5 boulevard Winston Churchill ZAC les Hauts de Pouilly,21000,Dijon,21,03 80 78 42 00,dijon@proteor.com,http://www.proteor.com
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (MARSEILLE),820 Chemin de l'Aumône Vielle,13400,Aubagne,13,,marseille@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/marseille-chabloz-orthopedie/
ORTHONOMY,350 Rue du Clapet,73490,La Ravoire,73,04.56.59.93.75,contact@orthonomy.fr,https://orthonomy.fr/
LAGARRIGUE LONS-LE-SAUNIER,205 rue Regard,39000,Lons-Le-Saunier,39,03 81 48 25 55,besancon@groupelagarrigue.com,http://www.lagarrigue.com/
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (DIJON),30 rue de la Redoute,21850,Saint Appolinaire,21,03 80 72 01 80,dijon@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/agence-dijon/
PROTEOR LONS-LE-SAUNIER,11 bis avenue du Stade La Tannerie,39000,Lons-Le-Saunier,39,04 84 25 91 86,lons@proteor.com,http://www.proteor.com
NEUT,159 avenue d’Echenilly,10120,Saint Andre Les Vergers,10,03 25 76 10 10,info@,http://
PROTEOR LE HAVRE,45 Rue Paul Doumer,76600,Le Havre,76,02 35 41 71 71,lehaver@proteor.com,http://www.proteor.com
FORMOTION ORTHOPÉDIE,3 Chemin des Croix,10430,Rosieres Pres Troyes,10,03 51 25 20 40,admin.troyes@formotion.com,https://www.formotion.com/fr-fr
LAGARRIGUE TROYES,6 Rue Jean Monnet 168 ZA Savipol,10300,Sainte-Savine,10,NC,troyes@groupelagarrigue.com,https://lagarrigue.com/
LAGARRIGUE AUBAGNE,1085 avenue des Paluds,13400,Aubagne,13,04 91 43 09 25,aubagne@groupelagarrigue.cm,http://www.lagarrigue.com/
LAGARRIGUE LE HAVRE,Zone d'aménagement concerté Nord Bléville Pressoir 80 et 82,76620,Le Havre,76,02 35 55 64 64,info@,https://lagarrigue.com/
ALBATROS MARSEILLE,115 avenue de la carrière,13830,Roquefort-La-Bedoule,13,04 42 98 41 97,albatros@albatros-france.fr,https://albatros-france.fr
PROTEOR GAP,7 route de Saint-Jean,05000,Gap,05,04 13 19 12 11,gap@proteor.com,http://www.proteor.com
PROTEOR ROUEN,29 rue Louis Blanc,76100,Rouen,76,02 35 88 17 25,rouen@proteor.com,http://www.proteor.com
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (GAP),27 avenue du Commandant Dumont,05000,Gap,05,04 38 26 02 02,gap@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/gap-chabloz-orthopedie/
FORMOTION ORTHOPÉDIE,15 rue Saint Gilles,76000,Rouen,76,02 32 08 08 32,admin.rouen@formotion.com,https://www.formotion.com/fr-fr
NEUT,8 bis rue des Cordeliers,77100,Meaux,77,01 60 24 70 89,info@,http://
GB ORTHO,25 Rur Abbé Floquet,76420,Bihorel,76,06 29 05 10 67,baskakoffgerard@gmx.fr,https://gb-ortho.fr/
ORTHEA,14 avenue des quatre cantons,76000,Rouen,76,02 35 75 34 00,rouen@lagarrigue.com,http://www.lagarrigue.com/
LAGARRIGUE DOLE,10 rue Henri Jean renaud,39100,Dole,39,03 84 82 67 11,accueildole@groupelagarrigue.com,https://www.lagarrigue.com/
ORTHONOMY,80 Rue des creuses,74960,Cran-Gevrier,74,04.56.59.93.75,contact@orthonomy.fr,https://orthonomy.fr/
ALPES ORTHOPEDIE,Cran Gevrier - 17 Impasse des Fusains,74960,Annecy,74,04 50 67 41 36,,https://www.alpes-orthopedie-annecy.fr/
PROTEOR ANNECY,Allée de Mandallaz,74000,Annecy,74,04 79 36 45 84,annecy@proteor.com,http://www.proteor.com
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (ANNECY),"275 route Impériale, Saint Martin de Bellevue",74370,Filliere,74,04 50 23 24 07,annecy@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/annecy-chabloz-orthopedie/
PROTEOR CHERBOURG,5 rue Noyon,50100,Cherbourg,50,02 33 22 59 05,cherbourg@proteor.com,http://www.proteor.com
LAGARRIGUE,55 route des Contamines,74370,Argonay,74,04 28 69 06 92,annecy@groupelagarrigue.com,https://lagarrigue.com/
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (BESANÇON),Chemin de l'Etang,25870,Chatillon-Le-Duc,25,03 81 56 36 49,besancon@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/agence-besancon/
BTC ORTHOPEDIE VAR,Route de la Seyne Batiment K Technopole Var matin,83190,Ollioules,83,04 94 22 11 83,,http://btc-orthopedie.com/
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (ANNEMASSE),4 Rue des Artisans,74100,Vetraz-Monthoux,74,,annemasse@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/annemasse-chabloz-orthopedie/
FORMOTION ORTHOPÉDIE,Rue de Belloy,60860,Saint-Omer-En-Chaussee,60,03 65 61 10 10,admin.beauvais@formotion.com,https://www.formotion.com/fr-fr
MONT-BLANC ORTHOPEDIE,615 rue Saint Maurice,74800,Saint Pierre En Faucigny,74,04 50 03 74 33,,
LAGARRIGUE TOULON,10 avenue Gilles de Gennes,83160,La Valette-Du-Var,83,04 94 00 31 58,toulon@groupelagarrigue.com,http://www.lagarrigue.com/
PROTEOR CARQUEIRANNE,ZAC les Castors route de la Moutonne,83320,Carqueiranne,83,04 94 48 28 92,carqueiranne@proteor.com,http://www.proteor.com
AZUR ORTHOPEDIE,Quartier Le Beau Veze,83320,Carqueiranne,83,04 94 48 28 92,,http://orthopedie.proteor.fr/
BETEILLE ORTHOPEDIE,38 avenue des Iles d’or,83400,Hyeres,83,04 94 35 35 07,,https://beteille-orthopedie.com
PROTEOR BESANÇON,10 rue Alfred de Vigny ZAC Lafayette,25000,Besancon,25,03 81 41 54 54,besancon@proteor.com,http://www.proteor.com
LAGARRIGUE BESANÇON,33 chemin des Tilleroyes,25000,Besancon,25,03 81 48 25 55,besancon@groupelagarrigue.com,http://www.lagarrigue.com/
PROTEOR AMIENS,1 allée de la Pépinière Bâtiment Passiflore - Centre Oasis Dury,80000,Amiens,80,03 22 50 37 60,amiens@proteor.com,http://www.proteor.com
ORTHOROBS,2 rue Jean-Nicolas Corvisart (Rue du Campus) ZAC Intercampus,80000,Amiens,80,03 22 52 58 07,orthorobs@gmail.com,https://lagarrigue.com/
LAGARRIGUE REIMS,34 avenue Hoche,51100,Reims,51,03 26 09 65 73,reims@groupelagarrigue.com,http://www.lagarrigue.com/
PROTEOR REIMS,rue Robert Fulton Zone Industrielle Farman,51100,Reims,51,03 26 47 49 29,reims@proteor.com,http://www.proteor.com
VAR ORTHOPEDIK SERVICES,266 via Nova,83600,Frejus,83,04 94 40 32 76,,
PROTEOR SAINT QUENTIN,98 bis rue Henriette Cabot,02100,Saint Quentin,02,03 23 67 67 39,proteor.saintquentin@proteor.com,http://www.proteor.com
LAGARRIGUE NICE,173 chemin des Iscles ZI SAINT-LAURENT DU VAR,06730,Saint-Laurent Du Var,06,04 93 27 07 41,nice@groupelagarrigue.com,http://www.lagarrigue.com/
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (NICE),468 bd de la Madeleine,06000,Nice,06,04 89 14 13 55,nice@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/nice-chabloz-orthopedie/
MODAP ORTHOPEDIE (GROUPE PROTEOR),32 rue Smolett,06300,Nice,06,04 93 89 10 20,,http://www.modap-orthopedie.com
MIGNARD,11 avenue du Général de Gaulle,62600,Berck Sur Mer,62,03 21 09 01 07,,http://www.mignard.fr/emploi.htm
LAGARRIGUE MONTBELLIARD,14 rue André Boulloche,25200,Montbeliard,25,03 84 82 67 11,accueildole@groupelagarrigue.com,http://www.lagarrigue.com/
ETS. BOUBET,1750 route de Berck,62180,Rang Du Fliers,62,03 21 84 44 50,,
ALBATROS NORD DE FRANCE,5010 Chemin des Poissonniers,62140,Marconelle,62,03 21 05 62 11,albatros@albatros-france.fr,https://albatros-france.fr
ORTHOPEDIE MENEGHETTI,1 avenue François Mitterand,62217,Beaurains,62,03 21 73 45 75,,https://www.orthopedie-arras.com/
PROTEOR EPINAL,1 Allée des Chênes Bât. A,88000,Epinal,88,03 83 85 41 41,,http://www.proteor.com
FORMOTION ORTHOPÉDIE,58 avenue Winston Churchill,62000,Arras,62,03 21 24 83 79,admin.arras@formotion.com,https://www.formotion.com/fr-fr
FORMOTION ORTHOPÉDIE,60 avenue de Valenciennes,59400,Cambrai,59,03 27 81 41 75,admin.cambrai@formotion.com,https://www.formotion.com/fr-fr
H2 ORTHOPEDIE,7 rue Alfred Kastler,54320,Maxeville,54,03 83 95 15 01,,
PROTEOR NANCY,109 avenue de Strasbourg,54000,Nancy,54,03 83 85 41 41,nancy@proteor.com,http://www.proteor.com
PROTEOR LIEVIN,175 rue Jean-Baptiste Defernez,62800,Lievin,62,03 20 04 41 71,lievin@proteor.com,http://www.proteor.com
FORMOTION ORTHOPÉDIE,238 rue de Brebières,59500,Douai,59,03 27 88 19 60,admin.douai@formotion.com,https://www.formotion.com/fr-fr
FORMOTION ORTHOPÉDIE,64 Rue Jean Souvraz,62300,Lens,62,03 21 28 59 06,admin.lens@formotion.com,https://www.formotion.com/fr-fr
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (NANCY),Zone artisanale du haut Serroir,54690,Lay St Christophe,54,03 83 32 97 29,nancy@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/nancy-technicortho/
PROTEOR LENS,5 Rue de l'Europe,62300,Lens,62,03 20 04 41 71,lille@proteor.com,http://www.proteor.com
LAGARRIGUE CHARLEVILLE-MÉZIÈRES,7 rue des Hautes Chaussées,08000,Charleville-Mezieres,08,03 24 54 05 05,NC,http://www.lagarrigue.com/
DUPONT ORTHOPEDIE (GROUPE PROTEOR),249 Place Maréchal Joffre,62400,Bethune,62,03 21 57 53 33,dunkerque@proteor.com,http://www.proteor.com
LAGARRIGUE (ACMTO),9 rue d'Espagne - Parc Secoïa,68310,Wittelsheim,68,03 89 61 63 20,NC,https://lagarrigue.com/
A.C.M.T.O.,"9 rue d'Espagne ""Parc Sécoïa""",68310,Wittelsheim,68,03 89 61 63 20,,
PROTEOR MULHOUSE,74 rue Jean Monnet West Park,68200,Mulhouse,68,03 89 34 12 82,mulhouse@proteor.com,http://www.proteor.com
FORMOTION ORTHOPÉDIE,2 Pont Villars,59300,Valenciennes,59,03 27 42 01 55,admin.valenciennes@formotion.com,https://www.formotion.com/fr-fr
FORMOTION ORTHOPÉDIE,97 avenue de France,59600,Maubeuge,59,03 27 42 01 55,admin.valenciennes@formotion.com,https://www.formotion.com/fr-fr
FORMOTION ORTHOPÉDIE,311 avenue Eugène Avinée,59120,Loos,59,03 20 62 99 00,admin.loos@formotion.com,https://www.formotion.com/fr-fr
ORTHOPROJECT LOOS,85 rue Nelson Mandela,59120,Loos,59,03 28 01 04 12,,https://www.orthoway.fr/le-reseau/
THOUVENY ORTHOPEDIE,"69, Gustave Delory",59810,Lesquin,59,,,http://orthoway.fr
LAGARRIGUE LILLE,235 rue Faidherbe,59120,Loos,59,03 20 31 05 58,lille@groupelagarrigue.com,http://www.lagarrigue.com/
PROTEOR VILLENEUVE-D'ASCQ,197 Boulevard de Valmy,59650,Villeneuve-D'Ascq,59,03 20 04 41 71,lille@proteor.com,http://www.proteor.com
OPFM,Rue du Houblon,59270,Meteren,59,06 59 65 45 08,,
OTTOBOCK RÉSEAU ORTHOPÉDIE ET SERVICES (METZ),7 rue Gaston Ramon,57050,Metz,57,03 83 32 97 29,metz@ottobock.com,https://ottobock-ortho.fr/centres-dappareillage/agence-metz/
PROTEOR METZ,24 La Tannerie,57070,Saint-Julien-Les-Metz,57,03 87 74 41 32,metz@proteor.com,http://www.proteor.com
FORMOTION ORTHOPÉDIE,2173 boulevard des Justes,62100,Calais,62,03 21 96 09 09,admin.calais@formotion.com,https://www.formotion.com/fr-fr
ORTHO MEDICAL WELTER,4 rue de Ribeauvillé,68180,Horbourg-Wihr,68,03 89 24 24 07,,http://www.orthomedicalwelter.fr/
DUPONT ORTHOPEDIE (GROUPE PROTEOR),238 Rue de l'Albeck,59640,Dunkerque,59,03 28 66 12 89,dunkerque@dupontortho.fr,http://www.proteor.com
PROTEOR STRASBOURG,2 Rue Paul Rohmer,67200,Strasbourg,67,07 64 24 29 18,strasbourg@proteor.com,http://www.proteor.com
BMO,2 rue de Dublin,67670,Mommenheim,67,03 88 80 08 88,,https://bmo-prothese-orthese.fr/
SARL ORTHOPEDIA,Avenue Sampiero Corso RN 193,20600,Bastia,20,04 95 33 48 12,,
ORTHESIA ST MARTIN,108 Howell Center,97150,Saint Martin - Guadeloupe,971,0590 51 02 79,,http://www.orthesia.com/
ORTHO EXPERT (FORMOTION ORTHOPÉDIE),Grand Camp La Rocade,97139,Les Abymes - Guadeloupe,971,(590) 590 95 70 31,,https://www.formotion.com/fr-fr
ORTHESIA GUADELOUPE,8 rue Gaston Dorogant Parc d’activités La Providence ZAC de Dothémare,97139,Les Abymes,971,0590 90 71 36,,http://www.orthesia.com/
ACACIAS ORTHOPEDIE,Centre Médical Acacias Belcourt 1,97122,Baie Mahault,971,0590 26 16 26,,
SOCIETE D'ORTHOPEDIE GUITTEAUD (SOG),50 Lot Hibiscus Place d'Armes,97232,Lamentin,972,0596 51 99 45,,http://orthopedieguitteaud.com
ANTILLES ORTHOPEDIE,8 rue Paulo Rosile Ravine-Vilaine,97200,Fort De France,972,0596 63 55 50,,https://www.antillesorthopedie.fr
ORTHEIS,3 avenue Eugène Mona,97200,Fort De France,972,0596 51 09 89,,https://www.ortheis.fr
GUYANE ORTHOPROTHESE,3 place Schoelcher Immeuble Victor Hugo,97300,Cayenne,973,0594 29 22 37,,http://guyaneorthoprothese.com
ORTHO ESPACE 3D,1 Rue des Arômes,97354,Remire-Montjoly,973,0594 28 2 8 08,contact@orthoespace3d.fr,http://www.orthoespace3d.fr
GUYANE APPAREILLAGE MEDICAL,"660, avenue Justin Catayée",97300,Cayenne,973,06 94 44 81 16,,https://guyane-appareillage-medical.business.site/?utm_source=gmb&utm_medium=referral
TPM MAYOTTE,16 impasse de l'entrepôt,97600,Mamoudzou,976,262 639 696 564,,
NEUT,129 route Nationale,97660,Nyambadao,976,,info@,http://
RUN ORTHO - ORTHO PEI,280 rue du Maréchal Leclerc,,Saint Denis,,+262 0693054715,info@,http://www.ortho-pei.com
HTCR,27 rue du Butor,97400,St Denis De La Reunon,974,0262 29 81 85,,
PRO ORTHO,La mare - Ilot 1 - Atelier 5 1 rue de la pépinière,97438,Sainte Marie,974,0262 41 24 00,,
TPM ORTHOPEDIE,8 rue du cap rond ZI Pierrefonds,97410,Saint-Pierre - Reunion,974,0262 35 26 26,,
